cafeno,name,r1,r2,r3,r4,r5,r6
479,아마스빈 종로점,너무 좁아서 있으나마나 한 매장,펄이 얼어있음ㅋㅋㅋㅋㅋㅋㅋ허 참...매장 너무 좁고 사람도 개많아서 오래기다려야해요ㅠ,주인분이 바꼈나요? 버블이 딱딱하고 하나도 안쫀득해요 여기 몇년동안 단골인데 이런적은 첨이네요 ,펄을 다양하게 선택가능,가성비 최고 맛도 최고입니다,
481,카페다,"커피 맛이 정말 좋아요. 비 오는 날, 분위기 좋음 ",커피 넘 마싯어요,"일단 조용하고 넓습니다.^^ 커피, 특히 에스프레소 맛 있고요. 따님과 함께 운영하는 사장님도 친절합니다. 자리까지 서빙~",젊은 여사장의 매너없는 태도에 굉장히 불쾌했어요  바쁜 게 이유라면 조금 기다라라고 해야죠 바쁜데 말 시켰다고 그런 오만불손한 말투를 쓰다니요? 불매운동이라도 하고 싶은 심정이예요 앞으로는 손님의 사소한 질문에 그런 몰상식한 말투 쓰지마세요 당신들에게 수익을 안겨주는 귀한 고객에게  말을 함부로 해서는 안되죠 아주 당돌하고 몰상식한 젊은 여사장~!!!!! ,,
483,카페아이엠티 순화점,좋아요,보통이에요,,,,
486,소꿉놀이,맛있고 친절해요,맛있고 친절하고 양이 많네요,"맛은 평범하지만, 사장님이 친절해 기분이 좋아지는 곳이네요",최고예요,조용한 분위기에 비싸지 않으면서도 맛있습니다. ㅎㅎ 가족이랑 같이  잘먹었습니다.,
488,공정무역가게 지구마을,최고예요,Cold Brew Latte,보통이에요,,,
490,광화문커피집,좋아요,"커피 맛있는 곳 광화문역 1,8번 출구 계단 중간에 있다",요즘 다시 커피를 마시기 시작했다.. 손흘림커피에 얼음을 몇조각 넣고 시럽 넣어 달달한..,커피가 만나다•_•*,핸드드립 커피전문점으로 여러명 가서 한꺼번에 앉기 좋은집(수용인원 70명)이며 엔틱분위기와 가격이 적당하고 음료 주문하면 커피를 서비스로 주는 집,
492,일층은커피,아메리카노 3.5   테이크아웃은   -1.0  인사동느낌 실내,,,,,
499,버블트리 시청역점,버블티 맛있고 사장님 완전 친절해요!!,,,,,
502,어니언 안국점,개인적으로 내 취향인 어니언 빵과 커피를 같이 먹으면 부담 없이 많이 먹을 수 있음 시그니처 메뉴 보다 다른 것들이 더 맛있을 수 있으니 도전해보세요-!,아메리카노는 산미가 강하고 바닐라라떼는 그냥 쏘쏘 호불호 갈림 빵은 스콘은 괜찮으나 칠리소시지빵은 새콤매콤임,최고예요,어니언 한장요약 ㅋ,한번 와봤으니 되었오.,
503,카페노티드 안국,크림도넛.. 진짜 맛있음..,맛있어요!!! 딸기 들어간 거를 꼭 드셔보세용ꈍ◡ꈍ ,도넛은 진짜 별로 차라리 스콘이 나아요,"맛있지만 너무 비싼.,,,,,",도넛은 최고,
504,프릳츠 원서점,기대를 넘 많이 하고 가서 그런지 너무 정신이 없었던 곳이에요 자리도 충분하지 않은것 같아요 날씨 좋은날 일찍 가면 여유롭게 즐기다 올수 있는데 주말은 피하시길,최고예요,너무 좋아하는 프릳츠인데 세지점중에 유난히 안국점 퀄리티가 들쑥 날쑥 한 것 같아요 ㅠㅠ 함께 좋아했던 친구들도 그렇게 느끼더라구여...,불편하고 정신없음,커피는 진짜 시큼. 크루아상과 쿠키는 좋았다. ,
505,레이어드,좋아요,스콘 존맛 아인슈페너 존맛 직원 존잘 사람 존많,사람이 엄청많은데 그래도 케익이랑 음료맛있음 베이커리는 평범하게 맛있는것과 아주 맛있는것이 따로 있다 바쁜 와중에도 친절해서 좋음,머리 짧은 남자직원분 넘 친절해요 담에 가면 또 뵙고싶네용☕️,"버터스콘, 얼그레이 스콘 최고! 근데 가급적 포장하시는거 추천이요 ㅠㅠ ",
508,스타벅스 안국점,가방 맡아주시는것도 안된다하네요...별로,보통이에요,"여긴 직원분들 거의 다 불친절한가보네요 주문하면서 얘기 덧붙이려하는데 “아이스 아메리카노 그란데 사이즈 주문하시는 거 맞으시죠?” 하면서 말 뚝 짤라먹고요. 표정은 똥 씹은 표정에, 세상 귀찮다는 듯 툭 건네주고, 말투는 말해 뭐합니까 불친절 그 자체. 옆에서 커피 받으라길래 기다리는데 대기손님 없이 널널함에도 불구하고 여유있게 직원들끼리 수다 떠느라 바로...",남자 알바분 싸가지없는거빼고 다좋아요~ ,여기 진짜 다 좋은데 2층에 화장실냄새가 너무 심해요 진짜 2층 전체에 화장실냄새가 나요ㅠㅠㅠ 진짜 자주오는데 빠른시일내에 처리됐으면 좋겠습니다ㅠ,
509,갤러리더스퀘어,뷰 값 생각해도 비싼편 아닌가 했는데 사장님 너무 친절하시고 일행이랑 다른 음료 시키면 각자 마실 수 있게 더 주시고... 선곡도 넘 좋고 북촌 갈때마다 방문하게 되네요. 날 맑을 때 가면 더 예쁘고 좋을 것 같아요!,"한옥뷰 맛집. 차도 맛있어요. 백차부터 홍차, 말차까지 다양한 선택지가 있어 좋아요. 최근에 방문했더니 크리스마스 시즈널 메뉴인 뱅쇼가 생겼어요! 다음엔 차 오마카세 먹으러 와야겠어요. ",최고예요,너무너무 친절하시구 뷰도이뻤고 차도 맛있었어요 :) 오늘 갓던 장소중에 진짜 맘에들었던 곳입니다! ,한낮에 여유로울때 가서 정적이고 평화로운 분위기와 뷰를 보면서 차 한잔하니 너무 좋았어요:) 메뉴도 어디서 맛 보기 어려운 맛의 음료들이 신선했고 차 설명과 함께 맛보라고 조금씩 건네주시던 사장님의 마음이 좋았어요!,
510,하프커피 안국점,보통이에요,여기 사장님은 자기 커피 맛나다고 생각하는지 궁금함. 매일 먹을 수 있나요? ,"기격이 비싸지만 원두를 다양하게 선택할 수 있음. 주로 신맛이 나는 원두가 많고, 시그니처 메뉴는 아직 못 먹어봄. 오늘의 커피로 해당 가게 가격 대비 저렴하게 먹을 수 있음.",맛있어요. 그런데 넘 비싸네요ㅠㅠ,최고예요,
511,회화나무,커피 너무 연해요,Hanok Café,한옥 뷰 너무 예뻐요! 주차 하실거면 앞에 거주 주차구역이나 공영주차장에 하시면 되요!,창덕궁이 내려다보이고 규장각 바로 옆에서 커피를 마시니 넘나 좋아요 특히 커피숍에 소품들 넘 이쁘구요 카모마일 주문했는데 셋팅에 반했습니다 한번씩 오겠습니다~^^♡,최고예요,
513,스타벅스 북촌로점,조용한곳! 쉬고싶거나 책보고 싶다면 이곳으로~,보통이에요,최고예요,"그린트 프라푸 치노 먹었어요  자리는 여유 많아요 3층까지 있어서  단, 주위 현대엔지니어링 현대건설 쉬는시간에는  사람들 많이 몰리니 피하세요  쉬는 시간 오전 10:00-10:15, 오후 3:00-3:15",좋아요,
515,메가커피 안국역점,직원분 서비스도 최악... 그리고 물도 미리컵에 담아놓는 비위생적인 관리 가본 메가커피중 최악이였음 상권만 좋으면 뭐해 서비스가 똥인데,조금 아쉬워요,,,,
516,이채카페,예뻐용,숨은 보석 ~~~ 나만알아야지 ~~~,카페 '이채' 주변과 어울리는 한옥인테리어에 감성과 조용함 고급스러움이 더해지고 가격에 맞게 훌륭한 음료들의 퀄리티와 맛.. 깔끔함.. 지적여보이시고 친절하신 사장님. 요근래 다닌 카페 중 최고입니다.,최고예요,최고예요,
517,전광수커피하우스 북촌점,"조용하고, 커피도 맛있어요",인생커피! 아인슈페너 먹으러 왔다가 드립커피에 반해버렸습니다~~,커피내리는 향이 너무 좋은 곳. 드립커피맛이 너무 향긋한 곳. 직원들의 친절이 넘쳐나는 곳. 이 이상의 카페를 찾을 이유가 있을까?,커피가 정말 맛잇네요! 특히 드립커피 정말 잘 내리세요 this drip coffee is the best in my opinion! ,최고예요,
518,카페홍시궁 창덕궁점,홍시 요거트 넘 부드럽고 맛나요,"날씨가 서늘해서인지 큰 임팩트는 없었지만, 홍시와 빙수를 결합한 아이디어는 인정.  궁뷰도 장점",최고에요,맛있습니다. 최고,"역시 보는맛, 풍경이 좋아요~  점심할인 11:00~13:00  사이에는   음료 1,000할인 ㅋㅋ~~ ",
520,브람스,간판이 젤 예쁨. ,별점이 0이 없어서 1을 남깁니다. 정말 불쾌한 경험이었습니다.,"세 테이블이 있었습니다. 첫 테이블 분은 핸드폰 충전했다가 콘센트 잘못 뽑았다고 혼나고, 두번째 테이블 여자분한테는 나가는 길에 갑자기 스타킹을 신었냐는 당황스러운 질문을 던져서 손님이 대충 둘러대고 넘어갔어요. 저희는 손잡고 있다가 화장실가는길 열쇠달라고 했더니 여기서 스킨십을 하면 안된다며 큰소리로 면박을 들었어요. 첫 테이블 일행은 화장실 열쇠를 잠그...","커플 굉장히 싫어합니다. 일단 처음 들어갈때부터 불친절해서 그런가보다 했는데, 저희한테는 반말 섞어서 하시더니 커플 아닌 손님들한테는 엄청 친절하게 말씀하시더라구요. 손잡고 있으니까 스킨쉽하지 말라고 하시네요ㅎㅎ 인테리어만 오래된게 아니라 사장님 마인드도 구식인듯","세월이 그대로 묻어있다. 오래된 나무 바닥, 난로, 낡은 포스터 너무 좋아",
521,미스핏츠,별로예요,마카롱 먹고 싶어 갔는데 안보여서 일반 음료 시키고 즐건 수다 타임! 테라스 자리들이 아늑한게 매력 있음^^,커피 맛 중요하게 생각하는데 커피 맛있어서 좋았어요 재방문 의사 있습니다!!,꼬끄가 머랭쿠키처럼 딱딱해서 당황했어요. 제가 프랑스에서 먹었던 마카롱이랑 달라서 여쭤보니 숙성이 덜되서 그렇다네요. 프랑스에서 마카롱 드시고 그걸 기대하고 가시는 분들은 실망하실듯 합니다.,베이킹을 하셔서 그런지 지나가거나 가게에 있을때 빵 냄새 좋아요~ 한적하기도하고 시끌하기도 했습니다. 화장실 구분되어있고 바닐라라떼 괜찮았어요.,
522,카페공드리,드래프트 맥주 종류가 다양해요! 다 맛있고 바깥자리도 있어서 더 좋음 술먹으면서 지나다니는 사람 구경하기 대꿀잼 아! 기본 안주로 프레췔과자 줍니당,맥주가 맛있어요,수제 맥주집,맥주 1인세트가 콩 나와서 좋았음.,조금 아쉬워요,
523,파티세리희원,기분전환하기 좋은 아기자기한 디저트 가게에요. 갈레트브르통이 맛있어요.,Dessert Heaven,"너무나 애정하는 곳이에요!! 쿠킹클래스도 좋았고, 디저트들 너무 맛있어요~~~~ 초코얼그레이 케이크랑 카라멜리아 ♡ 매일매일 먹을 수도 있을 것 같아요 :) 오래오래 단골하고 싶은 곳이에요 ♡♡♡",최고예요,최고예요,
526,이도카페,지하인데도 해가 엄청 잘들어와요!!! 엄청큰 식물들도 많고 ~ 사진찍을데가 많아서 좋아여,조용하고 커피가 맛있는 곳. 바닐라라떼 추천,"인생샷 남길 수 있는 곳, 인테리어랑 분위기가 프랑스 여행온 것 같아요 ♥ 직원분들도 완전 친절하셔서 좋았습니다 :)",공간도 넘 예쁘고 특히 커피가 진짜 맛있어요,공사하는데 왜 영업중으로뜨는거죠 헛걸음했네요 개빡,
527,카페두루 본점,보통이에요,마감 시각이 일정하지 않아요,비오는 날 오후... 분위기 괜찮네요,최고예요,북촌에서 커피가 가장 맛있는 카페예요,
528,아마스빈 안국역점,친절한 사장님,사장님ㅋㅋㅋㅋ 친절하시고 웃겨용 ㅋㅋㅋ 점원 분들 친절하십니당ㅋㅋㅋ 잘 먹고 있습니다! 학교 끝나고 찾아가면 사장님 힘들다고 절규하심 ㅋㅋㅋㅋ,,,,
529,더치앤빈 안국역점,좋아요,,,,,
530,매스커피 안국역점,친절해요. 싼맛에 먹습니다,만족스러운 곳. 싼 가격에 대용량,너무 불친절해요 ,좋아요,좋아요,
532,물나무다방,보통이에요,"안에서 밖을, 밖에서 안을 봤을때가 매우달랐던 곳.  난 그냥 좋더라 여기. 이 목욕탕 건물 사연도 좋고",꼭 중요한 날 사진은 물나무 사진관에서 찍을 거에요🎓,"금방이라도 모-단보이가 튀어나올듯한. one of my favorite. 이상의 제비다방을 현대식으로 재구성한 곳. 메뉴는 특별할 게 없지만 그럼에도 갈 이유가 너무 충분한 곳. 옆에 있는 물나무 사진관도 넘 좋다. 자세한 설명은 스포일러가 되버리니 생략. 낮보단 저녁이, 주말보단 평일이 좋고 밤 12시까지 영업.",북촌한옥마을 가는 길 들를만한 카페. 1930년대의 분위기이다.  식사도 가능해-  김볶이랑 달래간장비빔밥 깔끔하고 맛있다.,
533,더한옥,아이스크림 와플 절대 먹지마세요. 가격 창렬. 차는 맛있어요,보통이에요,너무 친절하세요! 서비스 짱!,고즈넉한 한옥이라서 분위기도 좋고 팥빙수랑 차 등등 메뉴들도 많고 좋네요^^,대추차주문시 묽은건 6천원 찐한건 8천원.....꼭 가격물어보세요.   쿠키엔 냉장고 냄새가.....  커피는 탄내가...  선택은 각자의 몫 ,
534,카페드나타,"에그타르트 엄청 맛있음!!! 서울에서 맛있는 에그타르트집을 찾아서 기쁨 매장 내에 스탠딩 데스크가 2개 정도 있어서 간단히 먹고 갈 수도 있고,  에스프레소바스러운 커피 메뉴들도 있음",서서 먹을 수 있다,사장님 서비스 장난아니시고 챙겨주는 센스 최고! 무엇보다도 가격대비 너무 맛있어서 강추! ,살면서 먹은 에그타르트 중에 최고였어요ㅠㅇㅠ 홍콩 마카오 포르투갈에서 다 먹어봤지만 솔직히 여기가 젤 맛있음 외국의 에그타르트 집은 사장님이 해외 진출 안하는것에 감사해야합니다... 사장님 다 맛있지만 딱 하나만 고쳐주셨으면 하는데 그건 카페드나타에 중독된 제 입맛...!!!!!! 책임지세요~~~!!! 아아메랑 먹으면 백배 더 맛있는거 모르는 사람 없게 해...,맛잇어요 ,
536,더블컵커피,3.5점 커피가 많이 쓴 편이예요. 얼음을 한컵 가득 채워주는 곳은 또 처음이라 ㅎ 오렌지주스가 생과일을 바로 짜는 거라 그런지 아주 맛있게 먹었습니당!,"빵과 커피 모두 맛있어요.  2층 좌석에서 먹고가기 편하고, 분위기나 음악도 좋아요. ",서울에서 커피 마시려면 여기 와야해요. ,가야는 이유 : 근처에서 다른 카페를 갈까하다가 외관에 이끌린다 안가는 이유 : 양은 많지만 맛이 났던건 아니다. 커피가 좀 썼음,좋아요,
